You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/MEE-CBC/RCPA_CMA.ec::Z3:3
- FSet_fsetUIr
- FSet_fsetUK
- FSet_fsetUUl
- FSet_fsetUUr
- FSet_fsetUid
- FSet_fset_eq
- FSet_fset_ind
- FSet_image'def
- FSet_image1
- FSet_imageE
- FSet_imageP
- FSet_imageU
- FSet_image_sort
- FSet_in_eq_fset0
- FSet_in_eq_fset1
- FSet_in_filter
- FSet_in_fset0
- FSet_in_fset1
- FSet_in_fsetD
- FSet_in_fsetD1
- FSet_in_fsetI
- FSet_in_fsetI1
- FSet_in_fsetU
- FSet_in_fsetU1
- FSet_mem'def
- FSet_memE
- FSet_mem_ho_sort
- FSet_mem_ho_spec
- FSet_mem_image
- FSet_mem_oflist
- FSet_mem_pick
- FSet_mem_rangeset
- FSet_oflistK
- FSet_oflist_cat
- FSet_oflist_cons
- FSet_oflist_perm_eq
- FSet_oflist_perm_eq_undup
- FSet_oflist_sort
- FSet_oflist_uniq
- FSet_perm_eq_oflist
- FSet_perm_eq_oflistP
- FSet_perm_to_rem
- FSet_pick'def
- FSet_pick_sort
- FSet_product'def
- FSet_productE
- FSet_productP
- FSet_product_sort
- FSet_properP
- FSet_rangeset'def
- FSet_set0E
- FSet_set1E
- FSet_setD1E
- FSet_setDE
- FSet_setIE
- FSet_setUE
- FSet_sub1set
- FSet_subsetP
- FSet_subset_fsetU_id
- FSet_uniq_elems
- Finite_fingraph'def
- Finite_fingraph_cons
- Finite_fingraph_nil
- Finite_fingraph_sort
- Finite_finiteP
- Finite_finite_for_bool
- Finite_finite_for_mem
- Finite_finite_for_unit
- Finite_finite_mem
- Finite_finite_typeP
- Finite_is_finite'def
- Finite_is_finiteE
- Finite_is_finite_for'def
- Finite_mem_fingraph
- Finite_mem_to_seq
- Finite_mkfinite
- Finite_to_seq'def
- Finite_to_seq_finite
- Finite_to_seq_sort
- IntDiv_%_'def
- IntDiv_Euclide_prod
- IntDiv_eq_range
- IntDiv_mem_range_add_mul
- IntDiv_mem_range_add_mul_eq
- IntDiv_mem_range_mod
- IntDiv_prime'def
- IntDiv_range_div_range
- Int_IterOp_iter'def
- Int_IterOp_iter_sort
- Int_IterOp_iteri_sort
- Int_b2i'def
- Int_max'def
- List_++'def
- List_++_ho_ho_sort
- List_++_ho_ho_spec
- List_++_sort
- List_::_proj_1'def
- List_::_proj_1_sort
- List_::_proj_2'def
- List_::_proj_2_sort
- List_::_sort
- List_InsertSort_insert'def
- List_InsertSort_insert_sort
- List_InsertSort_perm_insert
- List_InsertSort_sort'def
- List_InsertSort_sort_sort
- List_Iota_iota0
- List_Iota_iota1
- List_Iota_iotaS
- List_Iota_iota_add
- List_Iota_mem_iota
- List_Iota_mema_iota
- List_Range_le2_mem_range
- List_Range_mem_range
- List_Range_mem_range_add2
- List_Range_mem_range_addl
- List_Range_mem_range_addr
- List_Range_mem_range_ge
- List_Range_mem_range_gt
- List_Range_mem_range_incl
- List_Range_mem_range_le
- List_Range_mem_range_lt
- List_Range_mem_range_opp
- List_Range_mem_range_subl
- List_Range_mem_range_subr
- List_Range_range'def
- List_Range_rangeS
- List_Range_range_cat
- List_Range_range_geq
- List_Range_range_ltn
- List_[]_sort
- List_all'def
- List_allP
- List_all_cat
- List_allpairs'def
- List_allpairs0l
- List_allpairs0r
- List_allpairsP
- List_allpairs_consl
- List_allpairs_consr
- List_allpairs_sort
- List_allpairs_uniq
- List_alltuples'def
- List_alltuplesP
- List_alltuplesS
- List_alltuples_le0
- List_alltuples_sort
- List_assoc'def
- List_assocP
- List_assocTP
- List_assoc_cat
- List_assoc_cons
- List_assoc_get_mem
- List_assoc_head
- List_assoc_nil
- List_assoc_none
- List_assoc_some
- List_assoc_sort
- List_behead'def
- List_behead_cat
- List_behead_cons
- List_behead_nil
- List_behead_sort
- List_belast'def
- List_belast_cat
- List_belast_rcons
- List_belast_sort
- List_cat0s
- List_cat1s
- List_catA
- List_catIs
- List_cat_cons
- List_cat_eq0I
- List_cat_eq0IL
- List_cat_eq0IR
- List_cat_nseq
- List_cat_rcons
- List_cat_subseq
- List_cat_take_drop
- List_cat_take_insert_drop
- List_cat_uniq
- List_catrev'def
- List_catrevE
- List_catrev_catl
- List_catrev_catr
- List_catrev_sort
- List_cats0
- List_cats1
- List_catsI
- List_cons_uniq
- List_count'def
- List_countU
- List_count_cat
- List_count_eq1
- List_count_mem_uniq
- List_count_pred0_eq_in
- List_count_predT_eq_in
- List_count_rem
- List_count_swap
- List_count_uniq_mem
- List_drop'def
- List_drop_catl
- List_drop_cons
- List_drop_flatten_ctt
- List_drop_oversize
- List_drop_size
- List_drop_size_cat
- List_drop_sort
- List_drop_take1_nth
- List_eq_all_in
- List_eq_filter_in
- List_eq_has_in
- List_eq_in_all
- List_eq_in_count
- List_eq_in_filter
- List_eq_in_filter_pred0
- List_eq_in_filter_predT
- List_eq_in_foldl
- List_eq_in_foldr
- List_eq_in_has
- List_eq_in_map
- List_eq_in_pmap
- List_eqseq_cat
- List_eqseq_cons
- List_filter'def
- List_filter_cat
- List_filter_cons
- List_filter_pred0
- List_filter_sort
- List_filter_swap
- List_find'def
- List_find_cat
- List_find_eq_in
- List_flatten1
- List_flattenP
- List_flatten_cat
- List_flatten_cons
- List_flatten_mapP
- List_flatten_nil
- List_flatten_rcons
- List_flatten_seq1
- List_foldl'def
- List_foldl_cat
- List_foldl_sort
- List_foldr'def
- List_foldr_cat
- List_foldr_rem
- List_foldr_sort
- List_has'def
- List_hasP
- List_hasPn
- List_has_cat
- List_has_nil
- List_has_pred1
- List_has_sym
- List_head'def
- List_head_behead
- List_head_cons
- List_head_nil
- List_head_sort
- List_in_cons
- List_in_mapiK
- List_in_nil
- List_in_nilE
- List_in_undup_map
- List_index'def
- List_index_cat
- List_index_cons
- List_index_head
- List_index_mem
- List_inj_cons
- List_insert'def
- List_insert0
- List_insert_sort
- List_last'def
- List_lastI
- List_last_cat
- List_last_cons
- List_last_ind
- List_last_nonempty
- List_last_nth
- List_last_sort
- List_le_in_count
- List_leq_size_perm
- List_leq_size_uniq
- List_list_inversion
- List_listmax'def
- List_listmax_bounded'def
- List_listmax_bounded_sort
- List_listmax_gt_in
- List_listmax_in
- List_listmax_sort
- List_map'def
- List_map1
- List_mapP
- List_map_cat
- List_map_cons
- List_map_f
- List_map_inj_in_uniq
- List_map_sort
- List_map_uniq_inj_in
- List_mapi_rec'def
- List_mapi_rec_sort
- List_mask'def
- List_mask0
- List_mask_cat
- List_mask_cons
- List_mask_false
- List_mask_sort
- List_maxr_seq
- List_maxz_seq
- List_mem'def
- List_mem_assoc_uniq
- List_mem_behead
- List_mem_cat
- List_mem_count
- List_mem_drop
- List_mem_eq0
- List_mem_filter
- List_mem_head
- List_mem_head_behead
- List_mem_ho_ho_sort
- List_mem_ho_ho_spec
- List_mem_insert
- List_mem_map
- List_mem_map_fst
- List_mem_map_snd
- List_mem_mask
- List_mem_nseq
- List_mem_nth
- List_mem_put
- List_mem_rcons
- List_mem_rem
- List_mem_rem_neq
- List_mem_rev
- List_mem_rot
- List_mem_seq1
- List_mem_seq2
- List_mem_seq3
- List_mem_seq4
- List_mem_sort
- List_mem_take
- List_mem_undup
- List_mem_zip
- List_mem_zip_fst
- List_mem_zip_mapr
- List_mem_zip_nseqL
- List_mem_zip_snd
- List_mkseq'def
- List_mkseq0
- List_mkseq0_le
- List_mkseq1
- List_mkseq2
- List_mkseqP
- List_mkseqSr
- List_mkseq_add
- List_mkseq_sort
- List_nseq'def
- List_nseq0
- List_nseq0_le
- List_nseq1
- List_nseqS
- List_nseq_sort
- List_nth'def
- List_nth0
- List_nth1
- List_nthP
- List_nthPn
- List_nth_index
- List_nth_index_map
- List_nth_sort
- List_ohead'def
- List_ohead_cons
- List_ohead_head
- List_ohead_nil
- List_ohead_sort
- List_onth'def
- List_onth_index
- List_onth_mem
- List_onth_some_mem
- List_onth_sort
- List_perm_cat2l
- List_perm_cat2r
- List_perm_catAC
- List_perm_catC
- List_perm_catCA
- List_perm_catCAl
- List_perm_catCl
- List_perm_cons
- List_perm_consCA
- List_perm_eq'def
- List_perm_eq_mem
- List_perm_eq_nil
- List_perm_eq_nth_take_drop
- List_perm_filterC
- List_perm_to_rem
- List_perm_uniq
- List_pmap'def
- List_pmapP
- List_pmap_cat
- List_pmap_inj_in_uniq
- List_pmap_none
- List_pmap_sort
- List_put'def
- List_put_cons0
- List_put_consS
- List_put_empty
- List_put_in
- List_put_sort
- List_rcons'def
- List_rcons_cat
- List_rcons_sort
- List_rcons_uniq
- List_rem'def
- List_rem_id
- List_rem_sort
- List_rev1
- List_rev_cat
- List_rev_cons
- List_rev_nil
- List_rev_rcons
- List_rot'def
- List_rot1_cons
- List_rot_size_cat
- List_rot_sort
- List_rot_to
- List_seq2_ind
- List_size'def
- List_size_cat
- List_size_eq0
- List_size_eq1
- List_size_eqD
- List_size_flatten_ctt
- List_size_rem
- List_sort_rem
- List_splitPr
- List_sub0seq
- List_subseq'def
- List_subseq0
- List_subseq_catL
- List_subseq_catR
- List_subseq_cons
- List_subseq_consI
- List_subseq_mem
- List_subseqs'def
- List_subseqsP
- List_subseqs_sort
- List_take'def
- List_take0
- List_takeD
- List_take_catl
- List_take_cons
- List_take_flatten_ctt
- List_take_le0
- List_take_size_cat
- List_take_sort
- List_trim'def
- List_trim_head
- List_trim_sort
- List_trim_tail
- List_undup'def
- List_undup_nilp
- List_undup_sort
- List_uniq'def
- List_uniq_catC
- List_uniq_catCA
- List_uniq_eq_perm_eq
- List_uniq_flatten
- List_uniq_flatten_map
- List_uniq_ho_ho_sort
- List_uniq_ho_ho_spec
- List_uniq_leq_size
- List_uniq_perm_eq
- List_uniq_perm_eq_size
- List_uniq_size_uniq
- List_uniq_subseq_eq
- List_zip'def
- List_zip0l
- List_zip0r
- List_zip_cat
- List_zip_sort
- Logic_None_sort
- Logic_Some_proj_1'def
- Logic_Some_proj_1_sort
- Logic_Some_sort
- Logic___o'def
- Logic___o_ho_sort
- Logic___o_ho_spec
- Logic___o_sort
- Logic_choiceb_sort
- Logic_injective'def
- Logic_odflt'def
- Logic_odflt_sort
- Logic_omap'def
- Logic_omap_sort
- Logic_option_inversion
- Logic_pred0_ho_sort
- Logic_pred0_ho_spec
- Logic_pred1_ho_sort
- Logic_pred1_ho_spec
- Logic_predC'def
- Logic_predC1'def
- Logic_predC1_ho_sort
- Logic_predC1_ho_spec
- Logic_predC_ho_sort
- Logic_predC_ho_spec
- Logic_predI'def
- Logic_predI_ho_sort
- Logic_predI_ho_spec
- Logic_predT_ho_sort
- Logic_predT_ho_spec
- Logic_transitive'def
- RealSeries_eqL_notin_summable
- RealSeries_neg'def
- RealSeries_neg_ho_sort
- RealSeries_neg_ho_spec
- RealSeries_pos'def
- RealSeries_pos_ho_sort
- RealSeries_pos_ho_spec
- RealSeries_psum'def
- RealSeries_psum_pred'def
- RealSeries_psum_pred_ho_sort
- RealSeries_psum_pred_ho_spec
- RealSeries_sum'def
- RealSeries_sum_big
- RealSeries_summable'def
- RealSeries_summable_big
- RealSeries_summable_fin
- Real_`___'def
- StdBigop_BBA_big'def
- StdBigop_BBA_big1_seq
- StdBigop_BBA_big_cat
- StdBigop_BBA_big_catl
- StdBigop_BBA_big_catr
- StdBigop_BBA_big_cons
- StdBigop_BBA_big_consT
- StdBigop_BBA_big_nil
- StdBigop_BBA_big_reindex
- StdBigop_BBA_big_rem
- StdBigop_BBA_big_seq
- StdBigop_BBA_big_seq1
- StdBigop_BBA_big_seq_cond
- StdBigop_BBA_congr_big_seq
- StdBigop_BBA_eq_big_seq
- StdBigop_BBA_partition_big
- StdBigop_BBM_big'def
- StdBigop_BBM_big1_seq
- StdBigop_BBM_bigD1
- StdBigop_BBM_bigD1_cond
- StdBigop_BBM_bigD1_cond_if
- StdBigop_BBM_bigP
- StdBigop_BBM_big_cat
- StdBigop_BBM_big_catl
- StdBigop_BBM_big_catr
- StdBigop_BBM_big_cons
- StdBigop_BBM_big_consT
- StdBigop_BBM_big_nil
- StdBigop_BBM_big_reindex
- StdBigop_BBM_big_rem
- StdBigop_BBM_big_seq
- StdBigop_BBM_big_seq1
- StdBigop_BBM_big_seq_cond
- StdBigop_BBM_congr_big_seq
- StdBigop_BBM_eq_big_seq
- StdBigop_BBM_partition_big
- StdBigop_BBO_big'def
- StdBigop_BBO_big1_seq
- StdBigop_BBO_bigD1
- StdBigop_BBO_bigD1_cond
- StdBigop_BBO_bigD1_cond_if
- StdBigop_BBO_bigP
- StdBigop_BBO_big_cat
- StdBigop_BBO_big_catl
- StdBigop_BBO_big_catr
- StdBigop_BBO_big_cons
- StdBigop_BBO_big_consT
- StdBigop_BBO_big_nil
- StdBigop_BBO_big_reindex
- StdBigop_BBO_big_rem
- StdBigop_BBO_big_seq
- StdBigop_BBO_big_seq1
- StdBigop_BBO_big_seq_cond
- StdBigop_BBO_congr_big_seq
- StdBigop_BBO_eq_big_seq
- StdBigop_BBO_partition_big
- StdBigop_Bigbool_BBAnd_big'def
- StdBigop_Bigbool_BBAnd_big1_seq
- StdBigop_Bigbool_BBAnd_bigD1
- StdBigop_Bigbool_BBAnd_bigD1_cond
- StdBigop_Bigbool_BBAnd_bigD1_cond_if
- StdBigop_Bigbool_BBAnd_big_cat
- StdBigop_Bigbool_BBAnd_big_catl
- StdBigop_Bigbool_BBAnd_big_catr
- StdBigop_Bigbool_BBAnd_big_cons
- StdBigop_Bigbool_BBAnd_big_consT
- StdBigop_Bigbool_BBAnd_big_nil
- StdBigop_Bigbool_BBAnd_big_reindex
- StdBigop_Bigbool_BBAnd_big_rem
- StdBigop_Bigbool_BBAnd_big_seq
- StdBigop_Bigbool_BBAnd_big_seq1
- StdBigop_Bigbool_BBAnd_big_seq_cond
- StdBigop_Bigbool_BBAnd_congr_big_seq
- StdBigop_Bigbool_BBAnd_eq_big_seq
- StdBigop_Bigbool_BBAnd_partition_big
- StdBigop_Bigbool_BBOr_big'def
- StdBigop_Bigbool_BBOr_big1_seq
- StdBigop_Bigbool_BBOr_bigD1
- StdBigop_Bigbool_BBOr_bigD1_cond
- StdBigop_Bigbool_BBOr_bigD1_cond_if
- StdBigop_Bigbool_BBOr_big_cat
- StdBigop_Bigbool_BBOr_big_catl
- StdBigop_Bigbool_BBOr_big_catr
- StdBigop_Bigbool_BBOr_big_cons
- StdBigop_Bigbool_BBOr_big_consT
- StdBigop_Bigbool_BBOr_big_nil
- StdBigop_Bigbool_BBOr_big_reindex
- StdBigop_Bigbool_BBOr_big_rem
- StdBigop_Bigbool_BBOr_big_seq
- StdBigop_Bigbool_BBOr_big_seq1
- StdBigop_Bigbool_BBOr_big_seq_cond
- StdBigop_Bigbool_BBOr_congr_big_seq
- StdBigop_Bigbool_BBOr_eq_big_seq
- StdBigop_Bigbool_BBOr_partition_big
- StdBigop_Bigbool_BBXor_big'def
- StdBigop_Bigbool_BBXor_big1_seq
- StdBigop_Bigbool_BBXor_big_cat
- StdBigop_Bigbool_BBXor_big_catl
- StdBigop_Bigbool_BBXor_big_catr
- StdBigop_Bigbool_BBXor_big_cons
- StdBigop_Bigbool_BBXor_big_consT
- StdBigop_Bigbool_BBXor_big_nil
- StdBigop_Bigbool_BBXor_big_reindex
- StdBigop_Bigbool_BBXor_big_rem
- StdBigop_Bigbool_BBXor_big_seq
- StdBigop_Bigbool_BBXor_big_seq1
- StdBigop_Bigbool_BBXor_big_seq_cond
- StdBigop_Bigbool_BBXor_congr_big_seq
- StdBigop_Bigbool_BBXor_eq_big_seq
- StdBigop_Bigbool_BBXor_partition_big
- StdBigop_Bigint_BIA_big'def
- StdBigop_Bigint_BIA_big1_seq
- StdBigop_Bigint_BIA_big_cat
- StdBigop_Bigint_BIA_big_catl
- StdBigop_Bigint_BIA_big_catr
- StdBigop_Bigint_BIA_big_cons
- StdBigop_Bigint_BIA_big_consT
- StdBigop_Bigint_BIA_big_nil
- StdBigop_Bigint_BIA_big_reindex
- StdBigop_Bigint_BIA_big_rem
- StdBigop_Bigint_BIA_big_seq
- StdBigop_Bigint_BIA_big_seq1
- StdBigop_Bigint_BIA_big_seq_cond
- StdBigop_Bigint_BIA_congr_big_seq
- StdBigop_Bigint_BIA_eq_big_seq
- StdBigop_Bigint_BIA_partition_big
- StdBigop_Bigint_BIM_big'def
- StdBigop_Bigint_BIM_big1_seq
- StdBigop_Bigint_BIM_big_cat
- StdBigop_Bigint_BIM_big_catl
- StdBigop_Bigint_BIM_big_catr
- StdBigop_Bigint_BIM_big_cons
- StdBigop_Bigint_BIM_big_consT
- StdBigop_Bigint_BIM_big_nil
- StdBigop_Bigint_BIM_big_reindex
- StdBigop_Bigint_BIM_big_rem
- StdBigop_Bigint_BIM_big_seq
- StdBigop_Bigint_BIM_big_seq1
- StdBigop_Bigint_BIM_big_seq_cond
- StdBigop_Bigint_BIM_congr_big_seq
- StdBigop_Bigint_BIM_eq_big_seq
- StdBigop_Bigint_BIM_partition_big
- StdBigop_Bigint_gt0_prodr_seq
- StdBigop_Bigint_ler_prod_seq
- StdBigop_Bigint_ler_sum_seq
- StdBigop_Bigint_prodr_eq0
- StdBigop_Bigint_prodr_ge0_seq
- StdBigop_Bigint_prodr_gt0_seq
- StdBigop_Bigint_sumr_ge0_seq
- StdBigop_Bigreal_BRA_big'def
- StdBigop_Bigreal_BRA_big1_seq
- StdBigop_Bigreal_BRA_big_cat
- StdBigop_Bigreal_BRA_big_catl
- StdBigop_Bigreal_BRA_big_catr
- StdBigop_Bigreal_BRA_big_cons
- StdBigop_Bigreal_BRA_big_consT
- StdBigop_Bigreal_BRA_big_nil
- StdBigop_Bigreal_BRA_big_reindex
- StdBigop_Bigreal_BRA_big_rem
- StdBigop_Bigreal_BRA_big_seq
- StdBigop_Bigreal_BRA_big_seq1
- StdBigop_Bigreal_BRA_big_seq_cond
- StdBigop_Bigreal_BRA_congr_big_seq
- StdBigop_Bigreal_BRA_eq_big_seq
- StdBigop_Bigreal_BRA_partition_big
- StdBigop_Bigreal_BRM_big'def
- StdBigop_Bigreal_BRM_big1_seq
- StdBigop_Bigreal_BRM_big_cat
- StdBigop_Bigreal_BRM_big_catl
- StdBigop_Bigreal_BRM_big_catr
- StdBigop_Bigreal_BRM_big_cons
- StdBigop_Bigreal_BRM_big_consT
- StdBigop_Bigreal_BRM_big_nil
- StdBigop_Bigreal_BRM_big_reindex
- StdBigop_Bigreal_BRM_big_rem
- StdBigop_Bigreal_BRM_big_seq
- StdBigop_Bigreal_BRM_big_seq1
- StdBigop_Bigreal_BRM_big_seq_cond
- StdBigop_Bigreal_BRM_congr_big_seq
- StdBigop_Bigreal_BRM_eq_big_seq
- StdBigop_Bigreal_BRM_partition_big
- StdBigop_Bigreal_gt0_prodr_seq
- StdBigop_Bigreal_ler_prod_seq
- StdBigop_Bigreal_ler_sum_seq
- StdBigop_Bigreal_prodr_eq0
- StdBigop_Bigreal_prodr_ge0_seq
- StdBigop_Bigreal_prodr_gt0_seq
- StdBigop_Bigreal_sumr_ge0_seq

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
